S_Wave_X;S_Wave_Y;S_Surge_X;S_Surge_Y;S_Sway_X;S_Sway_Y;S_Heave_X;S_Heave_Y;S_Roll_X;S_Roll_Y;S_Pitch_X;S_Pitch_Y;S_Yaw_X;S_Yaw_Y;S_Added_Res_X;S_Added_Res_Y;S_Wave_WF_X;S_Wave_WF_Y
2,601333;0,006520;2,601333;0,000000;2,601333;0,000000;2,601333;0,000001;2,601333;0,002305;2,601333;0,000003;2,601333;0,000000;2,601333;3,548146;1,988889;0,024753
2,632000;0,006151;2,632000;0,000000;2,632000;0,000000;2,632000;0,000000;2,632000;0,002174;2,632000;0,000002;2,632000;0,000000;2,632000;3,258987;2,066667;0,020472
2,662667;0,005806;2,662667;0,000000;2,662667;0,000000;2,662667;0,000001;2,662667;0,002051;2,662667;0,000001;2,662667;0,000000;2,662667;3,008108;2,144444;0,017043
2,693333;0,005483;2,693333;0,000000;2,693333;0,000000;2,693333;0,000003;2,693333;0,001934;2,693333;0,000002;2,693333;0,000000;2,693333;2,804526;2,222222;0,014279
2,724000;0,005182;2,724000;0,000000;2,724000;0,000000;2,724000;0,000000;2,724000;0,001828;2,724000;0,000002;2,724000;0,000000;2,724000;2,726637;2,300000;0,012036
2,754667;0,004901;2,754667;0,000000;2,754667;0,000000;2,754667;0,000002;2,754667;0,001727;2,754667;0,000006;2,754667;0,000000;2,754667;2,656075;2,377778;0,010200
2,785333;0,004638;2,785333;0,000000;2,785333;0,000000;2,785333;0,000001;2,785333;0,001634;2,785333;0,000002;2,785333;0,000000;2,785333;2,634049;2,455556;0,008690
2,816000;0,004391;2,816000;0,000000;2,816000;0,000000;2,816000;0,000000;2,816000;0,001546;2,816000;0,000003;2,816000;0,000000;2,816000;2,637409;2,533333;0,007441
2,846667;0,004160;2,846667;0,000000;2,846667;0,000000;2,846667;0,000001;2,846667;0,001463;2,846667;0,000018;2,846667;0,000000;2,846667;2,602810;2,611111;0,006400
2,877333;0,003944;2,877333;0,000000;2,877333;0,000000;2,877333;0,000001;2,877333;0,001387;2,877333;0,000003;2,877333;0,000000;2,877333;2,181188;2,688889;0,005529
2,908000;0,003741;2,908000;0,000000;2,908000;0,000000;2,908000;0,000001;2,908000;0,001314;2,908000;0,000002;2,908000;0,000000;2,908000;1,797298;2,766667;0,004796
2,938667;0,003550;2,938667;0,000000;2,938667;0,000000;2,938667;0,000000;2,938667;0,001247;2,938667;0,000004;2,938667;0,000000;2,938667;1,530301;2,844444;0,004176
2,969333;0,003371;2,969333;0,000000;2,969333;0,000000;2,969333;0,000000;2,969333;0,001184;2,969333;0,000002;2,969333;0,000000;2,969333;1,354832;2,922222;0,003651
3,000000;0,003202;3,000000;0,000000;3,000000;0,000000;3,000000;0,000000;3,000000;0,000514;3,000000;0,000001;3,000000;0,000000;3,000000;0,557170;3,000000;0,003202
